Danh muc,Ten san pham,Ma hang (SKU),Xuat xu,Don vi tinh,Mo ta,Ten file anh,Link hinh anh,Link tham khao
DÂY CÁP CHỐNG CHÁY,"Cáp tín hiệu chống cháy, chống nhiễu 1x2Cx1,5mm2",SPL-FR-SD-30215,SPL SecureTech/ Trung Quốc,mét,"<p>Cáp tín hiệu báo cháy chống cháy, chống nhiễu SPL SecureTech model SPL-FR-SD-30215, loại 1x2C (1 đôi) tiết diện 1,5mm². Cáp được thiết kế để duy trì hoạt động truyền tín hiệu trong điều kiện cháy (loại fire-resistant PH), đảm bảo hệ thống báo cháy tiếp tục liên lạc khi xảy ra hỏa hoạn.</p>
<h3>Thông số kỹ thuật</h3>
<ul>
<li>Cấu trúc: 1 đôi (1x2C), lõi đồng</li>
<li>Tiết diện ruột dẫn: 1,5 mm²</li>
<li>Loại: chống cháy (fire resistant) – duy trì tín hiệu khi cháy (PH)</li>
<li>Lớp chống nhiễu (shield) chống nhiễu điện từ</li>
<li>Hãng: SPL SecureTech – Trung Quốc</li>
<li>Đơn vị tính: mét</li>
</ul>
<h3>Ứng dụng</h3>
<p>Đi dây tín hiệu cho hệ thống báo cháy thường và địa chỉ: nối trung tâm báo cháy với đầu báo, nút nhấn, chuông còi. Phù hợp công trình yêu cầu cáp chống cháy theo quy chuẩn PCCC.</p>",spl-fr-sd-30215.png,https://pcccphuoclong.vn/wp-content/uploads/2026/06/spl-fr-sd-30215.png,https://www.songphatlong.com/products/cap-tin-hieu-chong-chay-chong-nhieu-2*1.5mm2-PH30
THIẾT BỊ BÁO CHÁY HOCHIKI,Trung tâm báo cháy 2 - 4 - 8 kênh HCV,HCV-2/4/8,Hochiki/UK,tủ,"<p>Trung tâm báo cháy thường Hochiki dòng HCV, cấu hình linh hoạt 2/4/8 kênh (zone). Là thiết bị trung tâm điều khiển toàn hệ thống báo cháy, liên tục giám sát các zone đầu báo, hiển thị trạng thái và kích hoạt thiết bị cảnh báo khi có cháy.</p>
<h3>Thông số kỹ thuật</h3>
<ul>
<li>Số kênh (zone): 2 / 4 / 8 tùy cấu hình</li>
<li>Loại: tủ trung tâm báo cháy thường (conventional)</li>
<li>Nguồn: AC + ắc-quy dự phòng (backup khi mất điện)</li>
<li>Ngõ ra điều khiển chuông/còi đèn báo động</li>
<li>Đèn hiển thị trạng thái từng zone, lỗi, nguồn</li>
<li>Hãng: Hochiki – Anh Quốc (UK)</li>
</ul>
<h3>Ứng dụng</h3>
<p>Làm trung tâm cho hệ thống báo cháy thường tại văn phòng, cửa hàng, nhà xưởng, chung cư quy mô vừa và nhỏ.</p>",hcv-2-4-8.webp,https://pcccphuoclong.vn/wp-content/uploads/2026/06/hcv-2-4-8.webp,https://pccctranduy.com/hien-thi-phu-cho-trung-tam-hcv-hochiki-hcv248-ra
THIẾT BỊ BÁO CHÁY HOCHIKI,Trung tâm điều khiển xả khí 3 kênh HCVR,HCVR-3-R,Hochiki/UK,tủ,"<p>Trung tâm điều khiển xả khí Hochiki HCVR 3 kênh, chuyên dụng cho hệ thống chữa cháy bằng khí (FM-200, FirePro/Xtinguish, CO2...). Quản lý toàn bộ trình tự phát hiện cháy và xả khí, có thời gian trễ an toàn để người trong khu vực kịp thoát ra.</p>
<h3>Thông số kỹ thuật</h3>
<ul>
<li>Số kênh: 3 kênh</li>
<li>Chức năng: giám sát đầu báo + điều khiển xả khí</li>
<li>Hỗ trợ nút kích hoạt và nút hủy xả khí bằng tay</li>
<li>Thời gian trễ xả khí có thể cài đặt (delay)</li>
<li>Nguồn AC + ắc-quy dự phòng</li>
<li>Hãng: Hochiki – Anh Quốc (UK)</li>
</ul>
<h3>Ứng dụng</h3>
<p>Phòng máy chủ, phòng điện, kho lưu trữ, khu vực dùng hệ chữa cháy bằng khí sạch.</p>",hcvr-3-r.webp,https://pcccphuoclong.vn/wp-content/uploads/2026/06/hcvr-3-r.webp,https://pccctranduy.com/trung-tam-xa-khi-firepro-xtinguish-hcvr3
THIẾT BỊ BÁO CHÁY HOCHIKI,Đầu báo khói quang + đế SOE-24V,SOE-24V,Hochiki/US,bộ,"<p>Đầu báo khói quang Hochiki SOE-24V kèm đế, hoạt động ở 24V DC, phát hiện khói theo nguyên lý tán xạ ánh sáng (quang điện). Là đầu báo phổ biến cho hệ báo cháy thường nhờ độ ổn định cao và ít báo giả.</p>
<h3>Thông số kỹ thuật</h3>
<ul>
<li>Loại: đầu báo khói quang (photoelectric)</li>
<li>Điện áp làm việc: 24V DC (loại 2 dây)</li>
<li>Kèm đế đấu nối</li>
<li>Đèn LED báo trạng thái/báo động</li>
<li>Hãng: Hochiki – xuất xứ Mỹ (US)</li>
<li><em>(Dải điện áp, dòng tiêu thụ chi tiết: đối chiếu datasheet)</em></li>
</ul>
<h3>Ứng dụng</h3>
<p>Văn phòng, phòng ngủ, hành lang, khu vực sinh hoạt – nơi khói là dấu hiệu cháy sớm điển hình.</p>",soe-24v.webp,https://pcccphuoclong.vn/wp-content/uploads/2026/06/soe-24v.webp,https://pccctranduy.com/dau-bao-khoi-quang-hochiki-soe-24v-new
THIẾT BỊ BÁO CHÁY HOCHIKI,Đầu báo nhiệt thường + đế DSC-EA,DSC-EA,Hochiki/JP,bộ,"<p>Đầu báo nhiệt Hochiki DSC-EA kèm đế, phát hiện cháy qua nhiệt độ. Loại gia tăng kết hợp cố định (rate-of-rise + fixed) – kích hoạt khi nhiệt tăng nhanh bất thường hoặc vượt ngưỡng cố định.</p>
<h3>Thông số kỹ thuật</h3>
<ul>
<li>Loại: đầu báo nhiệt gia tăng + cố định</li>
<li>Kèm đế đấu nối</li>
<li>Đèn LED báo trạng thái</li>
<li>Hãng: Hochiki – xuất xứ Nhật (JP)</li>
<li><em>(Ngưỡng nhiệt kích hoạt cụ thể: đối chiếu datasheet)</em></li>
</ul>
<h3>Ứng dụng</h3>
<p>Bếp, nhà xe, phòng kỹ thuật, khu vực nhiều khói/bụi/hơi nước nơi đầu báo khói dễ báo giả.</p>",dsc-ea.webp,https://pcccphuoclong.vn/wp-content/uploads/2026/06/dsc-ea.webp,https://pccctranduy.com/dau-bao-nhiet-gia-tang-hochiki-dsc-ea
THIẾT BỊ BÁO CHÁY HOCHIKI,Nút nhấn khẩn HSP-SAH,HSP-SAH,Hochiki/US,cái,"<p>Nút nhấn báo cháy khẩn cấp Hochiki HSP-SAH, cho phép kích hoạt báo động bằng tay ngay khi người phát hiện cháy. Thiết kế nổi bật, thao tác nhanh.</p>
<h3>Thông số kỹ thuật</h3>
<ul>
<li>Loại: nút nhấn khẩn (manual call point)</li>
<li>Kích hoạt báo cháy thủ công</li>
<li>Vỏ màu đỏ dễ nhận biết</li>
<li>Hãng: Hochiki – xuất xứ Mỹ (US)</li>
</ul>
<h3>Ứng dụng</h3>
<p>Lắp tại lối thoát hiểm, hành lang, cầu thang bộ, gần cửa ra vào.</p>",hsp-sah.webp,https://pcccphuoclong.vn/wp-content/uploads/2026/06/hsp-sah.webp,https://pccctranduy.com/hop-bao-chay-khan-cap-hochiki-hps-sah
THIẾT BỊ BÁO CHÁY HOCHIKI,Nút hủy xả khí bằng tay HCVR-AS-R,HCVR-AS-R,Hochiki/UK,cái,"<p>Nút hủy xả khí bằng tay Hochiki HCVR-AS-R, dùng trong hệ thống chữa cháy bằng khí để tạm dừng/hủy lệnh xả khí, đảm bảo an toàn cho người còn trong khu vực.</p>
<h3>Thông số kỹ thuật</h3>
<ul>
<li>Chức năng: hủy/tạm dừng xả khí (abort)</li>
<li>Dùng với trung tâm xả khí HCVR</li>
<li>Vỏ nhận diện rõ ràng</li>
<li>Hãng: Hochiki – Anh Quốc (UK)</li>
</ul>
<h3>Ứng dụng</h3>
<p>Phòng máy, phòng điện, khu vực có hệ chữa cháy bằng khí.</p>",hcvr-as-r.webp,https://pcccphuoclong.vn/wp-content/uploads/2026/06/hcvr-as-r.webp,https://pccctranduy.com/nut-nhan-tam-dung-xa-khi-hochiki-hcvr-as-r
THIẾT BỊ BÁO CHÁY HOCHIKI,Nút kích hoạt xả khí bằng tay HPS-DAK-SR,HPS-DAK-SR,Hochiki/US,cái,"<p>Nút kích hoạt xả khí bằng tay Hochiki HPS-DAK-SR, cho phép chủ động kích hoạt xả khí chữa cháy tức thì khi cần thiết.</p>
<h3>Thông số kỹ thuật</h3>
<ul>
<li>Chức năng: kích hoạt xả khí thủ công (manual release)</li>
<li>Dùng với trung tâm xả khí HCVR</li>
<li>Hãng: Hochiki – xuất xứ Mỹ (US)</li>
</ul>
<h3>Ứng dụng</h3>
<p>Phòng server, phòng điện, khu vực dùng hệ chữa cháy bằng khí.</p>",hps-dak-sr.webp,https://pcccphuoclong.vn/wp-content/uploads/2026/06/hps-dak-sr.webp,https://pccctranduy.com/nut-nhan-xa-khi-hochiki-hps-dak-sr
THIẾT BỊ BÁO CHÁY HOCHIKI,Còi đèn chớp kết hợp HEC3-24WR,HEC3-24WR,Hochiki/US,cái,"<p>Còi đèn chớp kết hợp Hochiki HEC3-24WR – thiết bị cảnh báo kép vừa phát âm thanh còi vừa nháy đèn strobe, đảm bảo cảnh báo cả bằng âm thanh lẫn hình ảnh.</p>
<h3>Thông số kỹ thuật</h3>
<ul>
<li>Loại: còi + đèn chớp (sounder beacon)</li>
<li>Điện áp: 24V DC</li>
<li>Vỏ/đèn màu đỏ</li>
<li>Đa âm sắc (multi-tone) tùy model</li>
<li>Hãng: Hochiki – xuất xứ Mỹ (US)</li>
<li><em>(Mức âm dB, dòng tiêu thụ: đối chiếu datasheet)</em></li>
</ul>
<h3>Ứng dụng</h3>
<p>Khu vực ồn ào, nhà xưởng, khu vực cần cảnh báo cho cả người khiếm thính.</p>",hec3-24wr.webp,https://pcccphuoclong.vn/wp-content/uploads/2026/06/hec3-24wr.webp,https://pccctranduy.com/coi-den-chop-hochiki-hec324wr
THIẾT BỊ BÁO CHÁY HOCHIKI,Chuông báo cháy FBB-150I,FBB-150I,Hochiki/JP,cái,"<p>Chuông báo cháy Hochiki FBB-150I phát âm thanh báo động khi có sự cố. Vỏ chuông bền, âm lượng lớn.</p>
<h3>Thông số kỹ thuật</h3>
<ul>
<li>Loại: chuông báo cháy (fire bell)</li>
<li>Đường kính chuông: ~150mm (6 inch)</li>
<li>Điện áp: 24V DC</li>
<li>Hãng: Hochiki – xuất xứ Nhật (JP)</li>
<li><em>(Mức âm dB, dòng tiêu thụ: đối chiếu datasheet)</em></li>
</ul>
<h3>Ứng dụng</h3>
<p>Hành lang, cầu thang, khu vực công cộng trong nhà.</p>",fbb-150i.webp,https://pcccphuoclong.vn/wp-content/uploads/2026/06/fbb-150i.webp,https://pccctranduy.com/chuong-bao-chay-hochiki-fbb150i
